"1. เป็นนักเรียนที่ผ่านการศึกษาระดับชั้นมัธยมศึกษาปีที่ 4 มัธยมศึกษาปีที่ 5 และปัจจุบันกำลังศึกษาอยู่ชั้นมัธยมศึกษาปีที่ 6 ของโรงเรียนที่ ตั้งอยู่ในจังหวัดนนทบุรี ปทุมธานี นครปฐม สมุทรปราการ สมุทรสาคร กาญจนบุรี ประจวบคีรีขันธ์ เพชรบุรี ราชบุรี สมุทรสงคราม สุพรรณบุรี ชัยนาท พระนครศรีอยุธยา ลพบุรี สระบุรี สิงห์บุรี อ่างทอง อุทัยธานี ฉะเชิงเทรา ชลบุรี นครนายก ปราจีนบุรี สระแก้ว ระยอง จันทบุรี ตราด นครสวรรค์ พิจิตร ชัยภูมิ และเพชรบูรณ์ รวม 30 จังหวัด
2. ผู้สมัครจะต้องเป็นนักเรียนที่กำลังศึกษาอยู่ในโรงเรียนที่ตั้งอยู่ในจังหวัดที่ถูกระบุในโครงการนี้เท่านั้น โดยไม่คำนึงถึงว่าผู้สมัครจะมีภูมิลำเนาตามทะเบียนบ้านอยู่ในจังหวัดใด ยกเว้นคณะหรือสาขาวิชาที่กำหนดให้เป็นอย่างอื่น",,,,,,,,,,,,,,,
"* GPAX
* แผนการเรียน
* วิชา GAT/PAT ที่ใช้ในการคัดเลือก (คะแนนเต็มวิชาละ 300 คะแนน)
** GAT
** PAT1
** PAT2
** PAT3
** PAT4
** PAT5
** PAT7
* O-NET
** วิชา 03
* เงื่อนไขเฉพาะของสาขาวิชา",,,,,,,,,,,,,,,
12,วิทยาศาสตร์,เคมี,5,,2.75,วิทย์-คณิต,/,/,/,-,-,-,-,30,"คะแนนเฉลี่ยวิชาเคมี ไม่ต่ำกว่า 2.50
สัดส่วน GAT = 20% , PAT1 = 20% , PAT2 = 60%"
13,วิทยาศาสตร์,ชีววิทยา,1,,2.50,วิทย์-คณิต,/,/,/,-,-,-,-,16,-
14,วิทยาศาสตร์,สถิติ,3,,3.00,วิทย์-คณิต,/,/,/,-,-,-,-,16,-
15,วิทยาศาสตร์,ฟิสิกส์,5,,3.00,วิทย์-คณิต,/,≥50,≥70,-,-,-,-,16,-
16,วิทยาศาสตร์,จุลชีววิทยา,3,,2.75,วิทย์-คณิต,/,/,/,-,-,-,-,16,-
17,วิทยาศาสตร์,พันธุศาสตร์,1,,3.00,วิทย์-คณิต,/,≥40,≥80,-,-,-,-,25,-
18,วิทยาศาสตร์,พฤกษศาสตร์,4,,2.75,วิทย์-คณิต,/,/,/,-,-,-,-,16,-
19,วิทยาศาสตร์,สัตววิทยา,1,,2.50,วิทย์-คณิต,/,/,/,-,-,-,-,16,-
20,วิทยาศาสตร์,ชีวเคมี,5,,3.00,วิทย์-คณิต,/,/,/,-,-,-,-,16,-
21,วิทยาศาสตร์,วิทยาการคอมพิวเตอร์,3,,3.00,วิทย์-คณิต,/,/,/,-,-,-,-,16,-
22,วิทยาศาสตร์,วิทยาศาสตร์พื้นพิภพ,10,,2.50,วิทย์-คณิต,/,/,/,-,-,-,-,16,-
23,วิทยาศาสตร์,เคมีอุตสาหกรรม,1,,2.75,วิทย์-คณิต,/,/,/,-,-,-,-,30,"คะแนนเฉลี่ยวิชาเคมี ไม่ต่ำกว่า 2.50
สัดส่วน GAT = 20% , PAT1 = 20% , PAT2 = 60%"
24,วิทยาศาสตร์,วิทยาศาสตร์ชีวภาพรังสี,1,,3.50,วิทย์-คณิต,/,≥40,≥80,-,-,-,-,25,-
25,วิทยาศาสตร์,วิทยาศาสตร์นิวเคลียร์,1,,3.50,วิทย์-คณิต,/,≥40,≥80,-,-,-,-,25,-
26,วิทยาศาสตร์,วิทยาศาสตร์ชีวภาพและเทคโนโลยี (นานาชาติ),5,,2.00,วิทย์-คณิต,/,/,/,-,-,-,-,31,-
27,วิทยาศาสตร์,เคมีบูรณาการ (นานาชาติ),2,,2.50,วิทย์-คณิต,/,/,/,-,-,-,-,16,"สัดส่วน GAT = 20% , PAT1 = 20% , PAT2 = 60%"
28,วิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,2,,3.25,วิทย์-คณิต,x̅,x̅,-,x̅,-,-,-,16,"สัดส่วน GAT = 50% , PAT1 = 25% , PAT3 = 25%"
29,วิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,2,,3.25,วิทย์-คณิต,x̅,x̅,-,x̅,-,-,-,16,"สัดส่วน GAT = 50% , PAT1 = 25% , PAT3 = 25%"
30,วิศวกรรมศาสตร์,วิศวกรรมโยธา,2,,3.25,วิทย์-คณิต,x̅,x̅,-,x̅,-,-,-,16,"สัดส่วน GAT = 50% , PAT1 = 25% , PAT3 = 25%"
31,วิศวกรรมศาสตร์,วิศวกรรมอุตสาหการ,2,,3.25,วิทย์-คณิต,x̅,x̅,-,x̅,-,-,-,16,"สัดส่วน GAT = 50% , PAT1 = 25% , PAT3 = 25%"
32,วิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,2,,3.25,วิทย์-คณิต,x̅,x̅,-,x̅,-,-,-,16,"สัดส่วน GAT = 50% , PAT1 = 25% , PAT3 = 25%"
33,วิศวกรรมศาสตร์,วิศวกรรมเคมี,2,,3.25,วิทย์-คณิต,x̅,x̅,-,x̅,-,-,-,16,"สัดส่วน GAT = 50% , PAT1 = 25% , PAT3 = 25%"
34,วิศวกรรมศาสตร์,วิศวกรรมไฟฟ้าเครื่องกลการผลิต,2,,3.25,วิทย์-คณิต,x̅,x̅,-,x̅,-,-,-,16,"สัดส่วน GAT = 50% , PAT1 = 25% , PAT3 = 25%"
35,วิศวกรรมศาสตร์,วิศวกรรมการบินและอวกาศ,2,,3.25,วิทย์-คณิต,x̅,x̅,-,x̅,-,-,-,16,"สัดส่วน GAT = 50% , PAT1 = 25% , PAT3 = 25%"
36,วิศวกรรมศาสตร์,วิศวกรรมสิ่งแวดล้อม,2,,3.25,วิทย์-คณิต,x̅,x̅,-,x̅,-,-,-,16,"สัดส่วน GAT = 50% , PAT1 = 25% , PAT3 = 25%"
37,วิศวกรรมศาสตร์,วิศวกรรมวัสดุ,2,,3.25,วิทย์-คณิต,x̅,x̅,-,x̅,-,-,-,16,"สัดส่วน GAT = 50% , PAT1 = 25% , PAT3 = 25%"
38,วิศวกรรมศาสตร์,วิศวกรรมโยธา-ทรัพยากรน้ำ,2,,3.25,วิทย์-คณิต,x̅,x̅,-,x̅,-,-,-,16,"สัดส่วน GAT = 50% , PAT1 = 25% , PAT3 = 25%"
39,ศึกษาศาสตร์,พลศึกษา,30,,2.00,-,/,-,-,-,-,/,-,16,"สัดส่วน GAT = 30% , PAT5 = 20% , ทดสอบสมรรถภาพทางกลไก = 50%"
41,ศึกษาศาสตร์,การสอนคณิตศาสตร์,7,,3.00,วิทย์-คณิต/ศิลป์-คำนวณ,/,-,-,-,-,/,-,16,
42,ศึกษาศาสตร์,การสอนวิทยาศาสตร์,5,,3.00,วิทย์-คณิต,/,-,/,-,-,/,-,16,"สัดส่วน GAT = 30% , PAT2 = 30% , PAT5 = 40% "
43,เศรษฐศาสตร์,เศรษฐศาสตร์,1,,2.75,วิทย์-คณิต/ศิลป์-คำนวณ,≥90,≥40,-,-,-,-,-,16,
44,เศรษฐศาสตร์,เศรษฐศาสตร์เกษตรและทรัพยากร,5,,2.75,วิทย์-คณิต/ศิลป์-คำนวณ,≥120,≥90,-,-,-,-,-,16,
45,เศรษฐศาสตร์,เศรษฐศาสตร์สหกรณ์,2,,2.75,วิทย์-คณิต/ศิลป์-คำนวณ,≥120,≥120,-,-,-,-,-,16,
46,เศรษฐศาสตร์,ธุรกิจการเกษตร,5,,2.75,วิทย์-คณิต/ศิลป์-คำนวณ,≥120,≥90,-,-,-,-,-,16,
47,เศรษฐศาสตร์,เศรษฐศาสตร์เกษตรและทรัพยากร ภาคพิเศษ,5,,2.75,วิทย์-คณิต/ศิลป์-คำนวณ,≥120,≥90,-,-,-,-,-,16,
48,เศรษฐศาสตร์,ธุรกิจการเกษตร ภาคพิเศษ,10,,2.75,วิทย์-คณิต/ศิลป์-คำนวณ,≥120,≥90,-,-,-,-,-,16,
49,สังคมศาสตร์,สังคมวิทยาและมานุษยวิทยา,8,,3.00,-,/,-,-,-,-,-,-,16,
50,สังคมศาสตร์,รัฐศาสตร์ (การปกครอง),1,,3.00,-,/,-,-,-,-,-,เลือกสอบ 77-82,16,
51,สังคมศาสตร์,รัฐศาสตร์ (ความสัมพันธ์ระหว่างประเทศ),1,,3.00,-,/,-,-,-,-,-,เลือกสอบ 77-82,16,
52,สังคมศาสตร์,รัฐศาสตร์ (บริหารงานยุติธรรมและความปลอดภัย),1,,3.00,-,/,-,-,-,-,-,เลือกสอบ 77-82,16,
53,สังคมศาสตร์,รัฐประศาสนศาสตร์,1,,3.00,-,/,-,-,-,-,-,เลือกสอบ 77-82,16,
54,สังคมศาสตร์,ภูมิศาสตร์,5,,2.50,-,/,-,-,-,-,-,-,16,"ไม่พิการสายตา (ตาบอดสี, ตาบอด)"
55,สังคมศาสตร์,ประวัติศาสตร์,3,,3.00,-,/,-,-,-,-,-,-,16,
56,สังคมศาสตร์,นิติศาสตร์,4,,3.00,-,/,-,-,-,-,-,เลือกสอบ 77-82,16,
57,สังคมศาสตร์,นิติศาสตร์ ภาคพิเศษ,4,,3.00,-,/,-,-,-,-,-,เลือกสอบ 77-82,16,
58,สังคมศาสตร์,จิตวิทยา (จิตวิทยาคลินิก),2,,2.50,วิทย์-คณิต,/,-,-,-,-,-,-,16,
59,สังคมศาสตร์,จิตวิทยา (จิตวิทยาชุมชน),10,,2.50,วิทย์-คณิต,/,/,/,-,-,-,-,16,
60,สังคมศาสตร์,จิตวิทยา (จิตวิทยาพัฒนาการ),2,,2.50,วิทย์-คณิต,/,/,/,-,-,-,-,16,
61,สังคมศาสตร์,จิตวิทยา (จิตวิทยาอุตสาหกรรมและองค์การ),3,,2.50,วิทย์-คณิต,/,/,/,-,-,-,-,16,
62,สังคมศาสตร์,จิตวิทยา (จิตวิทยาชุมชน) ภาคพิเศษ,10,,2.50,วิทย์-คณิต,/,/,/,-,-,-,-,16,
63,สังคมศาสตร์,จิตวิทยา (จิตวิทยาพัฒนาการ) ภาคพิเศษ,2,,2.50,วิทย์-คณิต,/,/,/,-,-,-,-,16,
64,สังคมศาสตร์,จิตวิทยา (จิตวิทยาอุตสาหกรรมและองค์การ) ภาคพิเศษ,3,,2.50,วิทย์-คณิต,/,/,/,-,-,-,-,16,
65,อุตสาหกรรมเกษตร,เทคโนโลยีการบรรจุ,1,,2.75,วิทย์-คณิต,/,/,/,-,-,-,-,16,"GAT, PAT1, PAT2 เฉลี่ย 3 วิชารวมกัน ไม่น้อยกว่าร้อยละ 30"
66,อุตสาหกรรมเกษตร,เทคโนโลยีชีวภาพ,1,,2.75,วิทย์-คณิต,/,/,/,-,-,-,-,16,"GAT, PAT1, PAT2 เฉลี่ย 3 วิชารวมกัน ไม่น้อยกว่าร้อยละ 30"
67,อุตสาหกรรมเกษตร,วิทยาศาสตร์และเทคโนโลยีการอาหาร,1,,3.00,วิทย์-คณิต,/,/,/,-,-,-,-,16,"GAT, PAT1, PAT2 เฉลี่ย 3 วิชารวมกัน ไม่น้อยกว่าร้อยละ 30"
68,อุตสาหกรรมเกษตร,วิทยาศาสตร์และเทคโนโลยีสิ่งทอ,1,,2.75,วิทย์-คณิต,/,/,/,-,-,-,-,16,"GAT, PAT1, PAT2 เฉลี่ย 3 วิชารวมกัน ไม่น้อยกว่าร้อยละ 30"
69,อุตสาหกรรมเกษตร,เทคโนโลยีการบรรจุ ภาคพิเศษ,2,,2.75,วิทย์-คณิต,/,/,/,-,-,-,-,16,"GAT, PAT1, PAT2 เฉลี่ย 3 วิชารวมกัน ไม่น้อยกว่าร้อยละ 30"
70,มนุษยศาสตร์,ภาษาอังกฤษ,1,,3.00,-,/,-,-,-,-,-,-,16,
71,มนุษยศาสตร์,ภาษาฝรั่งเศส,3,,3.00,-,/,-,-,-,-,-,PAT 77,16,
72,มนุษยศาสตร์,ภาษาเยอรมัน,1,,3.50,-,/,-,-,-,-,-,PAT 78,16,
73,มนุษยศาสตร์,ภาษาจีน,2,,3.00,-,/,-,-,-,-,-,PAT 80,16,
74,มนุษยศาสตร์,สื่อสารมวลชน,2,,2.75,-,/,-,-,-,-,-,-,16,
75,มนุษยศาสตร์,ภาษาไทย,3,,2.50,-,/,-,-,-,-,-,-,16,
76,มนุษยศาสตร์,นวัตกรรมการท่องเที่ยว,5,,3.00,-,/,/,-,-,-,-,เลือกสอบ 77-80,16,
77,มนุษยศาสตร์,ภาษาตะวันออก (กลุ่มวิชาภาษาจีนธุรกิจ) ภาคพิเศษ,8,,2.75,-,/,-,-,-,-,-,-,16,
78,มนุษยศาสตร์,การจัดการท่องเที่ยวเชิงบูรณาการ (นานาชาติ) ,3,,3.00,-,≥ 30,-,-,-,-,-,เลือกสอบ 77-82,16,
79,บริหารธุรกิจ,การเงิน,20,,2.50,-,/,/,-,-,-,-,-,16,
80,บริหารธุรกิจ,การจัดการ,5,,2.50,วิทย์-คณิต/ศิลป์-คำนวณ,/,/,-,-,-,-,-,16,
81,บริหารธุรกิจ,การจัดการการผลิต,2,,2.50,วิทย์-คณิต/ศิลป์-คำนวณ,/,/,-,-,-,-,-,16,
82,บริหารธุรกิจ,การตลาด,1,,2.50,วิทย์-คณิต/ศิลป์-คำนวณ,/,/,-,-,-,-,-,16,
83,บริหารธุรกิจ,บัญชี,3,,3.00,-,/,≥x̅+30,-,-,-,-,-,16,"GAT ส่วน 1 ≥ x̅+50 , GAT ส่วน 2 ≥ x̅+35"
84,สถาปัตยกรรมศาสตร์,หลักสูตรสถาปัตยกรรมศาสตรบัณฑิต,1,,2.75,วิทย์-คณิต,≥150,-,-,-,≥120,-,-,16,
85,สถาปัตยกรรมศาสตร์,หลักสูตรภูมิสถาปัตยกรรมศาสตรบัณฑิต,1,,2.75,วิทย์-คณิต,≥150,-,-,-,≥120,-,-,16,
86,สถาปัตยกรรมศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต (สถาปัตยกรรม),1,,2.75,วิทย์-คณิต,≥150,-,-,-,≥120,-,-,16,
87,สิ่งแวดล้อม,วิทยาศาสตร์และเทคโนโลยีสิ่งแวดล้อม,3,,2.75,วิทย์-คณิต,/,/,/,-,-,-,-,16,
88,โครงการจัดตั้งวิทยาเขตสุพรรณบุรี,การจัดการโรงแรมและท่องเที่ยว (ภาคพิเศษ),30,,-,-,/,-,-,-,-,-,-,16,
89,วิทยาลัยการชลประทาน,วิศวกรรมโยธา-ชลประทาน,2,,3.00,วิทย์-คณิต,x̅,x̅,-,x̅,-,-,-,16,"สัดส่วน GAT = 50% , PAT1 = 25% , PAT3 = 25%"
90,เทคนิคการสัตวแพทย์,เทคนิคการสัตวแพทย์,3,,3.00,วิทย์-คณิต,/,-,/,-,-,-,-,16,
91,เทคนิคการสัตวแพทย์,การพยาบาลสัตว์,3,,3.00,วิทย์-คณิต,/,-,/,-,-,-,-,16,
